170M	2021-09-30
132M	2021-10-01
164M	2021-10-02
204M	2021-10-03
235M	2021-10-04
228M	2021-10-05
241M	2021-10-06
137M	2021-10-07
130M	2021-10-08
123M	2021-10-09
142M	2021-10-10
101M	2021-10-11
36M	2021-10-12
40M	2021-10-13
23M	2021-10-14
14M	2021-10-15
56M	2021-10-16
71M	2021-10-17
178M	2021-10-18
96M	2021-10-19
86M	2021-10-20
165M	2021-10-21
171M	2021-10-22
86M	2021-10-23
167M	2021-10-24
208M	2021-10-25
177M	2021-10-26
309M	2021-10-27
276M	2021-10-28
208M	2021-10-29
228M	2021-10-30
380M	2021-10-31
343M	2021-11-01
345M	2021-11-02
219M	2021-11-03
106M	2021-11-04
46M	2021-11-05
31M	2021-11-06
182M	2021-11-07
296M	2021-11-08
388M	2021-11-09
326M	2021-11-10
382M	2021-11-11
236M	2021-11-12
239M	2021-11-13
317M	2021-11-14
321M	2021-11-15
436M	2021-11-16
297M	2021-11-17
290M	2021-11-18
188M	2021-11-19
145M	2021-11-20
220M	2021-11-21
198M	2021-11-22
214M	2021-11-23
195M	2021-11-24
206M	2021-11-25
131M	2021-11-26
166M	2021-11-27
211M	2021-11-28
117M	2021-11-29
157M	2021-11-30
154M	2021-12-01
159M	2021-12-02
133M	2021-12-03
126M	2021-12-04
177M	2021-12-05
164M	2021-12-06
153M	2021-12-07
108M	2021-12-08
115M	2021-12-09
76M	2021-12-10
93M	2021-12-11
75M	2021-12-12
101M	2021-12-13
147M	2021-12-14
93M	2021-12-15
68M	2021-12-16
63M	2021-12-17
54M	2021-12-18
68M	2021-12-19
61M	2021-12-20
61M	2021-12-21
102M	2021-12-22
96M	2021-12-23
107M	2021-12-24
73M	2021-12-25
125M	2021-12-26
114M	2021-12-27
122M	2021-12-28
50M	2021-12-29
70M	2021-12-30
55M	2021-12-31
53M	2022-01-01
75M	2022-01-02
90M	2022-01-03
129M	2022-01-04
131M	2022-01-05
148M	2022-01-06
91M	2022-01-07
72M	2022-01-08
117M	2022-01-09
141M	2022-01-10
146M	2022-01-11
175M	2022-01-12
146M	2022-01-13
188M	2022-01-14
111M	2022-01-15
180M	2022-01-16
250M	2022-01-17
187M	2022-01-18
284M	2022-01-19
229M	2022-01-20
164M	2022-01-21
123M	2022-01-22
136M	2022-01-23
197M	2022-01-24
204M	2022-01-25
204M	2022-01-26
191M	2022-01-27
145M	2022-01-28
205M	2022-01-29
257M	2022-01-30
274M	2022-01-31
286M	2022-02-01
190M	2022-02-02
280M	2022-02-03
279M	2022-02-04
215M	2022-02-05
287M	2022-02-06
357M	2022-02-07
406M	2022-02-08
450M	2022-02-09
368M	2022-02-10
254M	2022-02-11
115M	2022-02-12
293M	2022-02-13
268M	2022-02-14
285M	2022-02-15
275M	2022-02-16
257M	2022-02-17
195M	2022-02-18
163M	2022-02-19
220M	2022-02-20
208M	2022-02-21
300M	2022-02-22
143M	2022-02-23
233M	2022-02-24
203M	2022-02-25
172M	2022-02-26
227M	2022-02-27
297M	2022-02-28
119M	2022-03-01
174M	2022-03-02
152M	2022-03-03
126M	2022-03-04
143M	2022-03-05
226M	2022-03-06
193M	2022-03-07
160M	2022-03-08
170M	2022-03-09
155M	2022-03-10
180M	2022-03-11
173M	2022-03-12
253M	2022-03-13
244M	2022-03-14
268M	2022-03-15
183M	2022-03-16
155M	2022-03-17
153M	2022-03-18
108M	2022-03-19
190M	2022-03-20
158M	2022-03-21
190M	2022-03-22
187M	2022-03-23
159M	2022-03-24
148M	2022-03-25
170M	2022-03-26
175M	2022-03-27
234M	2022-03-28
268M	2022-03-29
256M	2022-03-30
248M	2022-03-31
178M	2022-04-01
158M	2022-04-02
284M	2022-04-03
306M	2022-04-04
301M	2022-04-05
329M	2022-04-06
368M	2022-04-07
228M	2022-04-08
138M	2022-04-09
158M	2022-04-10
233M	2022-04-11
291M	2022-04-12
207M	2022-04-13
121M	2022-04-14
138M	2022-04-15
139M	2022-04-16
223M	2022-04-17
275M	2022-04-18
396M	2022-04-19
365M	2022-04-20
344M	2022-04-21
201M	2022-04-22
208M	2022-04-23
381M	2022-04-24
255M	2022-04-25
248M	2022-04-26
212M	2022-04-27
178M	2022-04-28
110M	2022-04-29
114M	2022-04-30
186M	2022-05-01
157M	2022-05-02
102M	2022-05-03
116M	2022-05-04
114M	2022-05-05
125M	2022-05-06
57M	2022-05-07
137M	2022-05-08
111M	2022-05-09
105M	2022-05-10
125M	2022-05-11
108M	2022-05-12
52M	2022-05-13
58M	2022-05-14
49M	2022-05-15
91M	2022-05-16
99M	2022-05-17
131M	2022-05-18
119M	2022-05-19
109M	2022-05-20
72M	2022-05-21
77M	2022-05-22
100M	2022-05-23
168M	2022-05-24
170M	2022-05-25
112M	2022-05-26
138M	2022-05-27
86M	2022-05-28
83M	2022-05-29
126M	2022-05-30
146M	2022-05-31
101M	2022-06-01
